Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
1308+326   RK08XX    57179.90669  197.61942    32.34549    1.66800  LCP      1.25       0.05
1308+326   RK08XX    57179.90669  197.61942    32.34549    1.66800  RCP      1.42       0.01
0235+164   RK16HH    57749.99382   39.66221    16.61646    1.66800  LCP      1.44       0.02
0235+164   RK16HH    57749.99382   39.66221    16.61646    1.66800  RCP      1.67       0.02
0106+013   RK16CG    57694.32685   17.16154     1.58342    1.66800  LCP      2.93       0.02
0106+013   RK16CG    57694.32685   17.16154     1.58342    1.66800  RCP      3.46       0.03
0420+022   RK08AO    56907.41155   65.71754     2.32415    1.66800  LCP      0.75       0.00
0420+022   RK08AO    56907.41155   65.71754     2.32415    1.66800  RCP      0.88       0.01
1642+690   RE03PX    56380.59664  250.53270    68.94438    1.66800  LCP      1.45       0.02
1642+690   RE03PX    56380.59664  250.53270    68.94438    1.66800  RCP      1.70       0.06
1324+574   RK08PH    57057.98980  201.71071    57.20188    1.66800  LCP      0.38       0.01
1324+574   RK08PH    57057.98980  201.71071    57.20188    1.66800  RCP      0.41       0.05
2200+420   RK18AV    58006.37254  330.68038    42.27777    1.66800  LCP      1.56       0.06
2200+420   RK18AV    58006.37254  330.68038    42.27777    1.66800  RCP      1.86       0.05
1150+812   RK01JM    56613.48904  178.30208    80.97477    1.66800  LCP      1.33       0.04
1150+812   RK01JM    56613.48904  178.30208    80.97477    1.66800  RCP      1.58       0.05
1800+7828  RE03AY    56121.33115  270.19035    78.46778    1.66000  LCP      2.28       0.04
1800+7828  RE03AY    56121.33115  270.19035    78.46778    1.66000  RCP      2.77       0.03
2200+420   RK12BH    57251.33351  330.68038    42.27777    1.66800  LCP      2.28       0.01
2200+420   RK12BH    57251.33351  330.68038    42.27777    1.66800  RCP      2.57       0.02
0235+164   RK18AY    58016.28332   39.66221    16.61646    1.66800  LCP      1.34       0.04
0235+164   RK18AY    58016.28332   39.66221    16.61646    1.66800  RCP      1.40       0.03
1357+769   RK01IN    56604.45490  209.48071    76.72251    1.66800  LCP      0.38       0.13
1357+769   RK01IN    56604.45490  209.48071    76.72251    1.66800  RCP      0.44       0.15
