Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
0454-234   RK18LE    58145.95885   74.26325   -23.41445   22.23600  LCP      1.10       0.03
0454-234   RK18LE    58145.95885   74.26325   -23.41445   22.23600  RCP      1.16       0.04
0721+7120  RE03GS    56260.91339  110.47270    71.34343   22.22800  LCP      3.82       0.01
0721+7120  RE03GS    56260.91339  110.47270    71.34343   22.22800  RCP      3.92       0.01
0851+202   RK01VD    56725.02596  133.70364    20.10851   22.23600  LCP      3.29       0.02
0851+202   RK01VD    56725.02596  133.70364    20.10851   22.23600  RCP      3.36       0.02
0529+483   RK16AJ    57655.28696   83.31612    48.38134   22.23600  LCP      1.26       0.02
0529+483   RK16AJ    57655.28696   83.31612    48.38134   22.23600  RCP      1.31       0.02
0716+714   RK08NE    57033.74593  110.47271    71.34343   22.23600  LCP      1.42       0.02
0716+714   RK08NE    57033.74593  110.47271    71.34343   22.23600  RCP      1.59       0.02
0716+714   RE03NM    56353.61571  110.47270    71.34343   22.23600  LCP      2.47       0.01
0716+714   RE03NM    56353.61571  110.47270    71.34343   22.23600  RCP      2.52       0.01
1226+023   RK16IM    57764.36815  187.27792     2.05239   22.23600  LCP     16.63       0.05
1226+023   RK16IM    57764.36815  187.27792     2.05239   22.23600  RCP     16.89       0.05
0234+285   RE03GZ    56267.06356   39.46835    28.80250   22.22800  LCP      3.37       0.01
0234+285   RE03GZ    56267.06356   39.46835    28.80250   22.22800  RCP      3.55       0.01
0805-077   RK01UJ    56712.95027  122.06473    -7.85275   22.23600  LCP      4.87       0.23
0805-077   RK01UJ    56712.95027  122.06473    -7.85275   22.23600  RCP      5.53       0.33
1749+096   RE03CI    56187.76203  267.88674     9.65020   22.22800  LCP      1.93       0.04
1749+096   RE03CI    56187.76203  267.88674     9.65020   22.22800  RCP      2.26       0.03
1055+018   RK12VQ    57511.99190  164.62338     1.56634   22.23600  LCP      5.78       0.02
1055+018   RK12VQ    57511.99190  164.62338     1.56634   22.23600  RCP      6.03       0.02
0827+243   RK16HQ    57753.20269  127.71704    24.18328   22.23600  LCP      0.90       0.01
0827+243   RK16HQ    57753.20269  127.71704    24.18328   22.23600  RCP      0.93       0.01
1055+018   RK01MP    56639.28197  164.62338     1.56634   22.23600  LCP      2.91       0.02
1055+018   RK01MP    56639.28197  164.62338     1.56634   22.23600  RCP      3.09       0.01
0823+033   RK16PO    57864.87154  126.45974     3.15681   22.23600  LCP      1.39       0.04
0823+033   RK16PO    57864.87154  126.45974     3.15681   22.23600  RCP      1.36       0.03
0739+0137  RE03ID    56278.10668  114.82514     1.61795   22.23600  LCP      0.76       0.03
0739+0137  RE03ID    56278.10668  114.82514     1.61795   22.23600  RCP      0.80       0.02
0106+013   RK18GO    58098.91050   17.16154     1.58342   22.23600  LCP      1.88       0.01
0106+013   RK18GO    58098.91050   17.16154     1.58342   22.23600  RCP      1.87       0.01
2232+1143  RE03FY    56250.90297  338.15170    11.73081   22.22800  LCP      3.72       0.01
2232+1143  RE03FY    56250.90297  338.15170    11.73081   22.22800  RCP      3.79       0.01
0814+425   RK08EI    56957.32779  124.56667    42.37928   22.23600  LCP      1.00       0.01
0814+425   RK08EI    56957.32779  124.56667    42.37928   22.23600  RCP      1.07       0.02
0727-115   RK16DR    57713.20295  112.57962   -11.68683   22.23600  LCP      3.41       0.05
0727-115   RK16DR    57713.20295  112.57962   -11.68683   22.23600  RCP      3.51       0.07
0716+714   RK08CM    56940.24101  110.47271    71.34343   22.23600  LCP      2.59       0.02
0716+714   RK08CM    56940.24101  110.47271    71.34343   22.23600  RCP      2.65       0.02
1803+784   RE03DD    56197.66193  270.19035    78.46778   22.22800  LCP      1.78       0.02
1803+784   RE03DD    56197.66193  270.19035    78.46778   22.22800  RCP      1.80       0.02
0235+164   RK16EF    57719.07957   39.66221    16.61646   22.23600  LCP      1.67       0.01
0235+164   RK16EF    57719.07957   39.66221    16.61646   22.23600  RCP      1.67       0.01
0136+4751  RE03IO    56291.88448   24.24414    47.85808   22.23600  LCP      1.02       0.01
0136+4751  RE03IO    56291.88448   24.24414    47.85808   22.23600  RCP      1.07       0.01
0721+7120  RE03FZ    56251.03130  110.47270    71.34343   22.22800  LCP      3.65       0.01
0721+7120  RE03FZ    56251.03130  110.47270    71.34343   22.22800  RCP      3.79       0.02
1150+497   RG34D     58119.43979  178.35196    49.51912   22.19600  LCP      2.02       0.01
1150+497   RG34D     58119.43979  178.35196    49.51912   22.19600  RCP      2.09       0.01
0646+4451  RE03EA    56207.42097  101.63344    44.85461   22.22800  LCP      1.94       0.02
0646+4451  RE03EA    56207.42097  101.63344    44.85461   22.22800  RCP      2.06       0.03
2251+158   RE03EP    56223.04021  343.49061    16.14821   22.22800  LCP      4.62       0.03
2251+158   RE03EP    56223.04021  343.49061    16.14821   22.22800  RCP      4.75       0.02
1308+326   RE03TD    56436.00881  197.61943    32.34549   22.23600  LCP      1.64       0.03
1308+326   RE03TD    56436.00881  197.61943    32.34549   22.23600  RCP      1.64       0.02
0336-019   RK12NA    57411.98948   54.87892    -1.77661   22.23600  LCP      1.96       0.01
0336-019   RK12NA    57411.98948   54.87892    -1.77661   22.23600  RCP      2.08       0.01
2202+4216  RE03EF    56214.28233  330.68038    42.27777   22.22800  LCP      6.50       0.03
2202+4216  RE03EF    56214.28233  330.68038    42.27777   22.22800  RCP      6.84       0.03
2230+114   RK16CQ    57700.98986  338.15171    11.73081   22.23600  LCP      2.83       0.01
2230+114   RK16CQ    57700.98986  338.15171    11.73081   22.23600  RCP      2.86       0.01
1749+096   RG11AY    57164.24774  267.88675     9.65020   22.23600  LCP      3.32       0.03
1749+096   RG11AY    57164.24774  267.88675     9.65020   22.23600  RCP      3.47       0.04
1800+7828  RE03DF    56197.95517  270.19035    78.46778   22.22800  LCP      1.91       0.02
1800+7828  RE03DF    56197.95517  270.19035    78.46778   22.22800  RCP      1.88       0.02
0646+4451  RE03DY    56207.17826  101.63344    44.85461   22.22800  LCP      1.81       0.04
0646+4451  RE03DY    56207.17826  101.63344    44.85461   22.22800  RCP      1.87       0.02
1633+382   RK18AA    57935.94996  248.81455    38.13458   22.23600  LCP      1.18       0.02
1633+382   RK18AA    57935.94996  248.81455    38.13458   22.23600  RCP      1.31       0.04
2200+420   RK01KJ    56625.83090  330.68038    42.27777   22.23600  LCP      5.44       0.01
2200+420   RK01KJ    56625.83090  330.68038    42.27777   22.23600  RCP      5.55       0.01
0954+658   RK16JN    57778.07898  149.69688    65.56523   22.23600  LCP      0.59       0.04
0954+658   RK16JN    57778.07898  149.69688    65.56523   22.23600  RCP      0.60       0.05
0648-165   RK08IO    56996.15629  102.60242   -16.62770   22.23600  LCP      1.17       0.03
0648-165   RK08IO    56996.15629  102.60242   -16.62770   22.23600  RCP      1.15       0.04
0716+714   RG26A     57740.61713  110.47270    71.34343   22.17200  LCP      1.38       0.03
0716+714   RG26A     57740.61713  110.47270    71.34343   22.17200  RCP      1.37       0.03
0716+714   RK16GJ    57738.28778  110.47271    71.34343   22.23600  LCP      2.21       0.01
0716+714   RK16GJ    57738.28778  110.47271    71.34343   22.23600  RCP      2.24       0.01
0648-165   RK08SD    57089.90990  102.60242   -16.62770   22.23600  LCP      0.90       0.02
0648-165   RK08SD    57089.90990  102.60242   -16.62770   22.23600  RCP      0.90       0.02
0238+1636  RE03HZ    56277.05263   39.66221    16.61647   22.23600  LCP      1.35       0.01
0238+1636  RE03HZ    56277.05263   39.66221    16.61647   22.23600  RCP      1.34       0.01
0235+164   RK16HD    57748.99790   39.66221    16.61646   22.23600  LCP      1.59       0.02
0235+164   RK16HD    57748.99790   39.66221    16.61646   22.23600  RCP      1.57       0.04
2200+420   RK18AU    58006.20176  330.68038    42.27777   22.23600  LCP      2.24       0.01
2200+420   RK18AU    58006.20176  330.68038    42.27777   22.23600  RCP      2.30       0.01
0648-165   RK01WV    56740.88303  102.60242   -16.62770   22.23600  LCP      2.07       0.01
0648-165   RK01WV    56740.88303  102.60242   -16.62770   22.23600  RCP      2.09       0.03
0316+413   RE03HX    56276.92964   49.95067    41.51170   22.23600  LCP     23.38       0.06
0316+413   RE03HX    56276.92964   49.95067    41.51170   22.23600  RCP     24.06       0.07
1308+326   RK08XY    57180.16275  197.61942    32.34549   22.23600  LCP      1.27       0.01
